"","addr","code","lat","lng","name","type","created_at","remain_stat","stock_at","remain_stat_kr","구분","시도","시군구","동"
"511","서울특별시 마포구 양화로 73 101호 (서교동, 체리스빌딩)","12815977",37.5514445,126.9159344,"참마음약국","01","2020/03/14 23:55:00","empty","2020/03/14 11:12:00","1개 이하","약국","서울특별시","마포구","서교동"
"512","경기도 성남시 분당구 백현로 100 207-1호 (정자동, 정자I PARK)","31891128",37.3762033,127.110339,"리젠시약국","01","2020/03/14 23:55:00","empty","2020/03/14 11:45:00","1개 이하","약국","경기도","성남시 분당구","정자동"
"513","충청남도 천안시 서북구 쌍용대로 43  (쌍용동)","34830669",36.8013145,127.1313257,"진주약국","01","2020/03/14 23:55:00","break","2020/03/14 11:15:00","2개 이상 30개 미만","약국","충청남도","천안시 서북구","쌍용동"
"514","전라남도 목포시 영산로 304-1, (용당동)","36827371",34.8052178,126.39898,"샘터약국","01","2020/03/14 23:55:00","empty","2020/03/14 07:38:00","1개 이하","약국","전라남도","목포시","용당동"
"515","인천광역시 계양구 안남로 565 (효성동)","31807097",37.5337238,126.7097698,"이조약국","01","2020/03/14 23:55:00","empty","2020/03/14 12:10:00","1개 이하","약국","인천광역시","계양구","효성동"
"516","서울특별시 강동구 동남로 877 (명일동, 한화오벨리스크스위트)","11804696",37.5520152,127.155802,"새희망약국","01","2020/03/14 23:55:00","empty","2020/03/14 08:53:00","1개 이하","약국","서울특별시","강동구","명일동"
"517","부산광역시 연제구 과정로 212 (연산동)","21838674",35.1879759,129.1040774,"늘푸른경성약국","01","2020/03/14 23:55:00","empty","2020/03/14 12:56:00","1개 이하","약국","부산광역시","연제구","연산동"
"518","경기도 성남시 수정구 수정로120번길 37-1, (수진동)","31815014",37.4383041,127.1351093,"영약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:32:00","1개 이하","약국","경기도","성남시 수정구","수진동"
"519","부산광역시 중구 동영로 4 2층 (동광동5가)","21842574",35.1075711,129.0332172,"새한솔약국","01","2020/03/14 23:55:00","plenty","2020/03/14 10:00:00","100개 이상","약국","부산광역시","중구","동광동5가"
"520","동면 공작산로 510","2238302676",37.6774459,127.9362589,"홍천동면우체국","02","2020/03/14 23:55:00","empty","2020/03/13 09:35:00","1개 이하","우체국","강원도","홍천군","동면"
"521","경기도 안산시 단원구 선부광장1로 72 훼미리프라자 306호 (선부동)","41841697",37.3357661,126.8122591,"안산우리들약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:26:00","1개 이하","약국","경기도","안산시 단원구","선부동"
"522","경상북도 의성군 금성면 탑리길 77 ","5098301343",36.2580757,128.6807453,"의성탑리우체국","02","2020/03/14 23:55:00","some","2020/03/13 08:52:00","30개 이상 100개 미만","우체국","경상북도","의성군","금성면"
"523","경기도 고양시 일산동구 고봉로 270 1층 (중산동)","41820495",37.6833144,126.7782079,"하얀약국","01","2020/03/14 23:55:00","break","2020/03/14 09:03:00","2개 이상 30개 미만","약국","경기도","고양시 일산동구","중산동"
"524","경기도 양주시 삼숭로38번길 80 양주자이프라자 2층 2204호 (삼숭동)","31838243",37.7960647,127.105807,"참사랑약국","01","2020/03/14 23:55:00","break","2020/03/14 09:33:00","2개 이상 30개 미만","약국","경기도","양주시","삼숭동"
"525","인천광역시 부평구 부평대로 114 (부평동)","31806180",37.5017939,126.7222077,"동대약국","01","2020/03/14 23:55:00","empty","2020/03/14 15:20:00","1개 이하","약국","인천광역시","부평구","부평동"
"526","서울특별시 중구 무교로 32 4층 (무교동, 효령빌딩)","12805831",37.5687701,126.9795793,"하나약국","01","2020/03/14 23:55:00","some","2020/03/14 10:03:00","30개 이상 100개 미만","약국","서울특별시","중구","무교동"
"527","충청남도 천안시 서북구 두정상가6길 23 (두정동)","34832572",36.8318685,127.1441097,"수약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:53:00","1개 이하","약국","충청남도","천안시 서북구","두정동"
"528","서울특별시 서초구 동산로6길 38 (양재동)","11866977",37.4694722,127.0445049,"이오당약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:16:00","1개 이하","약국","서울특별시","서초구","양재동"
"529","경기도 수원시 팔달구 경수대로467번길 9 1층 (인계동)","31828353",37.2679225,127.0262402,"새서울약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:32:00","1개 이하","약국","경기도","수원시 팔달구","인계동"
"530","강원도 삼척시 진주로 20 (남양동)","32805373",37.4425669,129.1642672,"새시민약국","01","2020/03/14 23:55:00","empty","2020/03/14 13:23:00","1개 이하","약국","강원도","삼척시","남양동"
"531","대구광역시 북구 동북로 163 (산격동, 대구A201/202)","37833634",35.9007956,128.6114256,"손자경약국","01","2020/03/14 23:55:00","few","2020/03/14 09:36:00","2개 이상 30개 미만","약국","대구광역시","북구","산격동"
"532","충청북도 청주시 서원구 신화로 34 101호 (성화동, 성화빌딩)","33813213",36.6176834,127.4556844,"성화우리약국","01","2020/03/14 23:55:00","empty","2020/03/14 12:33:00","1개 이하","약국","충청북도","청주시 서원구","성화동"
"533","전라남도 장성군 북하면 백양로 895 ","4098200974",35.4077296,126.881801,"약수우체국","02","2020/03/14 23:55:00","few","2020/03/13 09:15:00","2개 이상 30개 미만","우체국","전라남도","장성군","북하면"
"534","경남 산청군 시천면 남명로 185 (산청농협덕산지점)","3518200068",35.2773852,127.8367484,"산청군농협하나로마트덕산점","03","2020/03/14 23:55:00","empty","2020/03/14 11:57:00","1개 이하","농협","경상남도","산청군","시천면"
"535","전라남도 나주시 나주로 210 (성북동)","36831085",35.0352076,126.7219149,"나주제일약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:36:00","1개 이하","약국","전라남도","나주시","성북동"
"536","충청북도 청주시 청원구 상당로 291 (내덕동)","33807850",36.6545459,127.488338,"큰희망약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:12:00","1개 이하","약국","충청북도","청주시 청원구","내덕동"
"537","대전광역시 대덕구 중리로 60 (중리동)","34830928",36.3643663,127.4253006,"건강약국","01","2020/03/14 23:55:00","empty","2020/03/14 12:28:00","1개 이하","약국","대전광역시","대덕구","중리동"
"538","울산광역시 남구 중앙로 173 1층 (신정동)","38804719",35.536459,129.3131959,"우리약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:18:00","1개 이하","약국","울산광역시","남구","신정동"
"539","경기도 수원시 영통구 월드컵로179번길 7 1층 (원천동)","31805477",37.2783768,127.0459515,"도병원약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:43:00","1개 이하","약국","경기도","수원시 영통구","원천동"
"540","대구광역시 수성구 달구벌대로 3087 (시지동)","37839586",35.8432185,128.6947192,"고산미소약국","01","2020/03/14 23:55:00","break","2020/03/14 11:33:00","2개 이상 30개 미만","약국","대구광역시","수성구","시지동"
"541","부산광역시 동래구 온천장로 81-1, (온천동)","21818649",35.2186427,129.0822561,"온천약국","01","2020/03/14 23:55:00","empty","2020/03/14 12:55:00","1개 이하","약국","부산광역시","동래구","온천동"
"542","서울특별시 영등포구 선유로 63 (문래동6가)","12848425",37.5196453,126.8890683,"수온누리약국","01","2020/03/14 23:55:00","empty","2020/03/14 12:02:00","1개 이하","약국","서울특별시","영등포구","문래동6가"
